"bigram1","bigram2","n"
"in","the",98
"for","the",87
"of","the",82
"to","be",75
"thanks","for",64
"on","the",60
"to","the",56
"at","the",50
"going","to",48
"i","love",48
"have","a",46
"i","have",45
"i","am",43
"want","to",43
"if","you",41
"will","be",41
"for","a",40
"to","see",39
"i","know",37
"it","was",37
"i","was",35
"is","a",35
"is","the",34
"thank","you",34
"you","are",34
"a","good",32
"but","i",32
"i","don't",32
"so","much",32
"are","you",31
"do","you",31
"to","get",31
"all","the",30
"i","can't",28
"i","want",27
"when","you",27
"one","of",26
"with","the",26
"a","great",25
"have","to",25
"and","i",24
"i","will",24
"in","a",24
"in","my",24
"on","my",24
"you","can",24
"you","know",24
"i","just",23
"i","need",23
"it","is",23
"like","a",23
"need","to",23
"of","my",23
"to","do",23
"i","had",22
"i","think",22
"to","me",22
"i","can",21
"we","are",21
"a","lot",20
"for","you",20
"of","a",20
"the","same",20
"would","be",20
"and","the",19
"last","night",19
"see","you",19
"should","be",19
"if","i",18
"the","best",18
"with","a",18
"you","have",18
"be","a",17
"did","you",17
"had","a",17
"i","got",17
"right","now",17
"that","you",17
"the","world",17
"go","to",16
"hope","you",16
"i","could",16
"i","hate",16
"on","a",16
"out","of",16
"that","i",16
"that","is",16
"to","make",16
"trying","to",16
"you","do",16
"follow","me",15
"for","me",15
"i","miss",15
"in","this",15
"is","not",15
"know","what",15
"love","you",15
"the","new",15
"time","to",15
"when","i",15
"with","my",15
"and","a",14
"as","a",14
"be","in",14
"from","the",14
"i","did",14
"i","guess",14
"is","it",14
"is","so",14
"is","that",14
"me","to",14
"more","than",14
"such","a",14
"the","only",14
"this","is",14
"we","can",14
"with","you",14
"you","to",14
"a","new",13
"are","the",13
"can't","wait",13
"get","a",13
"i","would",13
"it's","not",13
"just","got",13
"like","the",13
"lot","of",13
"to","know",13
"to","you",13
"was","a",13
"you","love",13
"about","the",12
"back","to",12
"got","a",12
"have","you",12
"i'm","not",12
"listening","to",12
"looks","like",12
"me","and",12
"me","i",12
"of","you",12
"so","i",12
"the","day",12
"the","first",12
"the","fuck",12
"the","next",12
"they","are",12
"to","a",12
"what","a",12
"what","is",12
"what","you",12
"wish","i",12
"you","don't",12
"you","guys",12
"all","of",11
"at","a",11
"don't","know",11
"forward","to",11
"glad","you",11
"having","a",11
"i","feel",11
"i","thought",11
"it","would",11
"need","a",11
"of","us",11
"of","your",11
"on","twitter",11
"part","of",11
"ready","for",11
"this","morning",11
"this","weekend",11
"to","have",11
"what","i",11
"you","need",11
"you","want",11
"a","few",10
"and","you",10
"by","the",10
"end","of",10
"for","your",10
"happy","birthday",10
"how","much",10
"i","dont",10
"i","really",10
"in","your",10
"is","going",10
"is","your",10
"it","i",10
"kind","of",10
"let","me",10
"like","it",10
"like","that",10
"like","to",10
"love","it",10
"love","the",10
"miss","you",10
"now","i",10
"of","it",10
"our","new",10
"so","far",10
"the","game",10
"the","last",10
"there","is",10
"this","week",10
"to","go",10
"we","should",10
"when","the",10
"working","on",10
"you","and",10
"you","got",10
"a","little",9
"and","i'm",9
"be","there",9
"could","be",9
"do","i",9
"do","it",9
"for","all",9
"for","following",9
"for","my",9
"from","a",9
"get","to",9
"good","morning",9
"how","do",9
"i","do",9
"i","get",9
"i","hope",9
"i","should",9
"i'm","so",9
"if","the",9
"if","u",9
"it's","a",9
"know","how",9
"love","to",9
"make","it",9
"me","up",9
"much","for",9
"my","life",9
"no","one",9
"out","to",9
"proud","of",9
"talking","about",9
"that","was",9
"the","way",9
"to","play",9
"to","say",9
"up","for",9
"up","on",9
"up","to",9
"way","to",9
"we","have",9
"who","is",9
"with","me",9
"you","for",9
"you","get",9
"you","should",9
"you","too",9
"a","long",8
"able","to",8
"all","day",8
"all","that",8
"and","no",8
"and","not",8
"as","well",8
"at","all",8
"at","work",8
"check","out",8
"do","u",8
"get","it",8
"got","it",8
"he","was",8
"how","to",8
"i","didn't",8
"i","wanna",8
"i","wish",8
"i'll","be",8
"in","that",8
"it","out",8
"lets","go",8
"looking","forward",8
"make","a",8
"me","if",8
"my","favorite",8
"not","the",8
"on","this",8
"rt","i",8
"so","many",8
"some","of",8
"that","one",8
"that","the",8
"the","end",8
"the","follow",8
"the","one",8
"they","have",8
"to","hear",8
"to","help",8
"to","my",8
"to","our",8
