"trigram1","trigram2","trigram3","n"
"thanks","for","the",30
NA,NA,NA,21
"i","want","to",15
"going","to","be",14
"a","lot","of",12
"i","love","you",11
"to","see","you",10
"i","had","a",9
"i","have","a",9
"i","need","to",9
"looking","forward","to",8
"one","of","my",8
"one","of","the",8
"so","much","for",8
"for","the","follow",7
"for","the","rt",7
"is","going","to",7
"it","would","be",7
"thanks","for","following",7
"to","be","in",7
"you","want","to",7
"can't","wait","to",6
"have","a","good",6
"i","miss","you",6
"i","need","a",6
"in","front","of",6
"let","me","know",6
"thank","you","for",6
"thanks","so","much",6
"to","be","a",6
"want","to","be",6
"all","the","time",5
"end","of","the",5
"for","the","first",5
"hope","you","are",5
"i","am","so",5
"i","can't","find",5
"i","can't","wait",5
"i","don't","know",5
"i","have","to",5
"i","love","my",5
"lies","lies","lies",5
"the","end","of",5
"there","is","a",5
"to","have","a",5
"where","are","you",5
"would","love","to",5
"you","have","a",5
"you","like","it",5
"you","so","much",5
"a","couple","of",4
"as","long","as",4
"back","in","the",4
"be","able","to",4
"be","in","the",4
"brenda","brenda","brenda",4
"but","i","can't",4
"check","out","our",4
"cinco","de","mayo",4
"do","you","have",4
"do","you","think",4
"for","the","ff",4
"glad","you","like",4
"hope","to","see",4
"how","do","you",4
"i","had","to",4
"i","know","i",4
"i","should","be",4
"i","thought","i",4
"i","will","be",4
"i'll","have","to",4
"if","you","don't",4
"it's","going","to",4
"need","to","do",4
"out","of","the",4
"right","now","i",4
"seems","to","be",4
"so","glad","you",4
"so","proud","of",4
"so","you","can",4
"thank","you","so",4
"that","would","be",4
"the","first","time",4
"the","only","way",4
"to","listen","to",4
"to","make","a",4
"to","meet","you",4
"to","see","the",4
"was","going","to",4
"what","is","a",4
"what","you","do",4
"who","you","are",4
"would","like","to",4
"you","at","the",4
"you","got","it",4
"a","beautiful","day",3
"a","good","day",3
"a","good","one",3
"a","great","day",3
"a","long","day",3
"a","part","of",3
"a","ton","of",3
"all","is","well",3
"all","the","way",3
"am","going","to",3
"am","trying","to",3
"and","i","had",3
"and","i","will",3
"and","it's","not",3
"and","thanks","for",3
"are","going","to",3
"are","having","a",3
"around","the","corner",3
"asked","me","if",3
"ass","nigga","to",3
"at","9","30",3
"at","the","end",3
"at","the","gym",3
"at","the","same",3
"b","c","they",3
"back","to","my",3
"be","a","good",3
"but","i","don't",3
"but","i","love",3
"can't","wait","for",3
"catching","up","on",3
"check","it","out",3
"do","you","do",3
"do","you","know",3
"doesn't","want","to",3
"even","though","i",3
"for","all","the",3
"for","me","to",3
"for","the","retweet",3
"go","back","to",3
"go","to","the",3
"god","bless","you",3
"going","to","bed",3
"going","to","the",3
"great","to","see",3
"happy","new","year",3
"have","a","beer",3
"have","a","great",3
"having","a","great",3
"hope","all","is",3
"how","are","you",3
"how","much","i",3
"how","you","been",3
"i","am","going",3
"i","am","trying",3
"i","can","get",3
"i","can","see",3
"i","don't","have",3
"i","got","a",3
"i","have","no",3
"i","know","it's",3
"i","love","it",3
"i","was","able",3
"i","will","not",3
"i","would","love",3
"i'd","like","to",3
"i'm","going","to",3
"i'm","proud","of",3
"i'm","watching","the",3
"if","you","do",3
"if","you","have",3
"if","you","love",3
"if","you","want",3
"in","my","life",3
"in","the","next",3
"in","the","right",3
"in","the","studio",3
"in","the","world",3
"is","a","great",3
"is","almost","here",3
"is","like","a",3
"is","one","of",3
"is","the","best",3
"is","the","funniest",3
"is","the","only",3
"is","there","a",3
"is","your","favorite",3
"it","easier","for",3
"it","in","my",3
"it","is","a",3
"it","will","be",3
"it's","not","the",3
"just","wanted","to",3
"know","of","a",3
"know","what","i",3
"let","us","know",3
"listening","to","the",3
"long","day","at",3
"look","forward","to",3
"lot","of","people",3
"made","my","day",3
"make","a","difference",3
"me","and","my",3
"me","if","you",3
"much","for","the",3
"need","to","get",3
"needs","to","be",3
"of","life","is",3
"of","the","best",3
"of","the","day",3
"of","the","world",3
"on","the","beach",3
"part","of","the",3
"proud","of","you",3
"running","and","running",3
"s","o","to",3
"see","you","at",3
"see","you","there",3
"shout","out","to",3
"some","new","music",3
"some","of","our",3
"sorry","for","the",3
"sounds","like","a",3
"such","a","great",3
"thank","you","to",3
"that","i","don't",3
"the","fact","that",3
"the","game","and",3
"the","lack","of",3
"the","red","sox",3
"the","rest","of",3
"the","world","to",3
"thought","i","was",3
"to","be","done",3
"to","be","more",3
"to","everyone","who",3
"to","get","a",3
"to","get","on",3
"to","know","you",3
"to","worry","about",3
"wait","to","see",3
"want","to","get",3
"was","able","to",3
"we","will","be",3
"what","are","the",3
"what","do","you",3
"what","i","say",3
"what","they","have",3
"when","you","don't",3
"why","the","fuck",3
"will","be","at",3
"wish","i","could",3
"wish","i","had",3
"you","and","you",3
"you","are","having",3
"you","follow","me",3
"you","for","the",3
"you","get","to",3
"you","know","me",3
"you","liked","it",3
"you","love","me",3
"you","to","be",3
"you","will","be",3
"you","would","like",3
